CIDIPR,ITEMPR,PHQTPR,BARCOD,LARTAR,SELPPR
480,62596,.000,46211538,NESTLE GOOD MIX CHOC BAR 33G,170.000
480,56737,163.000,46214614,MENTOS PF ROLL FRESH MINT 15.5G,170.000
480,56738,226.000,46214621,MENTOS PF ROLL TUTTI FRUITTI 15.5G,170.000
480,61488,258.000,46214638,MENTOS PF ROLL GENTLE MINT 15.5G,170.000
480,64070,43.000,46217981,SOBRANIE SUPER SLIMS BLACK,800.000
480,64069,42.000,46217998,SOBRANIE SUPER SLIMS WHITE,800.000
480,72369,23.000,46224866,WINSTON XS PlUS SILVER,650.000
480,70487,107.000,46224880,MELLER CHOCOLATE TIRAMISU 38G,270.000
480,77217,381.000,46226907,NESCAFE 3IN1 CLASSIC MILD 14.5GR,70.000
480,71393,267.000,46227737,MENTOS PURE FRESH WATERMELON 15.5GR,150.000
480,71551,72.000,46229106,NESQUIK FINGER 20.5G,110.000
480,72553,616.000,46231499,ORBIT APRICOT GUM 13.6GR,160.000
480,57194,301.000,46233097,CHUPA CHUPS TOKI O! 12G,50.000
480,74899,.000,46235305,ORBIT RIPE BLUEBERRISE 13.6 GR,160.000
480,82172,199.000,46239587,NUTS DUO CRUNCH 60G,250.000
480,4808,39.000,46494542,7UP CSD CAN 330ML,300.000
480,14575,65.000,48209977,KENT SPARK NAVY BLUE 8,800.000
480,14576,35.000,48209984,KENT SPARK SILVER 4,800.000
480,14572,60.000,48210102,KENT NANOTEK 1,700.000
480,14571,45.000,48210119,KENT NANOTEK 4,700.000
480,68669,48.000,48210300,KENT FEEL AROMA N4,700.000
480,15577,90.000,48500029,AKHTAMAR ORIGINAL KING SIZE,450.000
480,15589,35.000,48500043,EREBUNI ROYAL RED,440.000
480,15592,20.000,48500050,YEREVAN ORIGINAL,450.000
480,15592,20.000,48500050,YEREVAN ORIGINAL,450.000
480,15596,36.000,48500135,GARNI REGULAR,430.000
480,15597,24.000,48500166,GARNI ULTRA,430.000
480,15597,24.000,48500166,GARNI ULTRA,430.000
480,15593,.000,48501125,GARNI PREMIUM BLUE 100S,450.000
480,15593,.000,48501125,GARNI PREMIUM BLUE 100S,450.000
480,55749,14.000,48501132,AKHTAMAR ORIGINAL 100S,550.000
480,15626,30.000,48501606,NOY EXTRA,450.000
480,15606,15.000,48501842,NEW BLACK SUPER SIZE SP,800.000
480,15627,27.000,48501927,NOY SILVER,450.000
480,15627,27.000,48501927,NOY SILVER,450.000
480,15611,45.000,48502047,MT BLUE SLIMS,550.000
480,71761,12.000,48502153,MT RED,450.000
480,15617,32.000,48502160,MT BLUE,450.000
480,15617,32.000,48502160,MT BLUE,450.000
480,15625,19.000,48502177,NOY 100S,480.000
480,15618,30.000,48502320,MT SILVER,450.000
480,15590,30.000,48502429,EREBUNI ROYAL BLUE,440.000
480,15578,17.000,48502450,GT PREMIUM SLIMS,550.000
480,15573,48.000,48502467,AKHTAMAR ORIGINAL 100 M,550.000
